air_store_id,datetime_hour,hour,hourly_orders,visit_date,visitors,day_of_week,holiday_flg,air_genre_name,air_area_name,temp_max,temp_min,precip,hour_sin,hour_cos,is_weekend,lag_1h,lag_24h,roll_mean_6h,roll_mean_24h,rain_temp_effect
air_5c817ef28f236bdf,2017-02-22 00:00:00,0,0.38,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.0,1.0,0,0.215,0.43,1.3174999999999988,1.6910416666666668,0.0
air_5c817ef28f236bdf,2017-02-22 01:00:00,1,0.19,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.2588190451025207,0.9659258262890684,0,0.38,0.215,0.775833333333332,1.6900000000000002,0.0
air_5c817ef28f236bdf,2017-02-22 02:00:00,2,0.19,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.4999999999999999,0.8660254037844387,0,0.19,0.215,0.5208333333333321,1.6889583333333336,0.0
air_5c817ef28f236bdf,2017-02-22 03:00:00,3,0.19,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.7071067811865475,0.7071067811865476,0,0.19,0.215,0.3374999999999988,1.6879166666666665,0.0
air_5c817ef28f236bdf,2017-02-22 04:00:00,4,0.19,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.8660254037844386,0.5000000000000001,0,0.19,0.215,0.2258333333333321,1.686875,0.0
air_5c817ef28f236bdf,2017-02-22 05:00:00,5,0.38,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.9659258262890684,0.2588190451025207,0,0.19,0.43,0.2533333333333321,1.684791666666667,0.0
air_5c817ef28f236bdf,2017-02-22 06:00:00,6,0.76,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,1.0,6.123233995736766e-17,0,0.38,0.86,0.3166666666666655,1.680625,0.0
air_5c817ef28f236bdf,2017-02-22 07:00:00,7,1.52,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.9659258262890684,-0.2588190451025206,0,0.76,1.72,0.5383333333333321,1.6722916666666665,0.0
air_5c817ef28f236bdf,2017-02-22 08:00:00,8,2.28,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.8660254037844388,-0.4999999999999998,0,1.52,2.58,0.8866666666666655,1.6597916666666668,0.0
air_5c817ef28f236bdf,2017-02-22 09:00:00,9,1.9,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.7071067811865476,-0.7071067811865475,0,2.28,2.15,1.1716666666666653,1.649375,0.0
air_5c817ef28f236bdf,2017-02-22 10:00:00,10,1.52,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.4999999999999999,-0.8660254037844387,0,1.9,1.72,1.393333333333332,1.641041666666667,0.0
air_5c817ef28f236bdf,2017-02-22 11:00:00,11,2.28,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,0.258819045102521,-0.9659258262890682,0,1.52,2.58,1.7099999999999989,1.6285416666666668,0.0
air_5c817ef28f236bdf,2017-02-22 12:00:00,12,3.04,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,1.2246467991473532e-16,-1.0,0,2.28,3.44,2.0899999999999985,1.6118749999999995,0.0
air_5c817ef28f236bdf,2017-02-22 13:00:00,13,3.42,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,-0.2588190451025208,-0.9659258262890684,0,3.04,3.87,2.406666666666666,1.593125,0.0
air_5c817ef28f236bdf,2017-02-22 14:00:00,14,2.28,2017-02-22,38,Wednesday,0,Izakaya,Tōkyō-to Shibuya-ku Shibuya,10.5,-1.8,0.0,-0.4999999999999998,-0.8660254037844388,0,3.42,2.58,2.4066666666666654,1.5806250000000002,0.0
